Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from digestive diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from unintentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from intentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from neuropsychiatric conditions per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory diseases per 100,000 people, in both sexes aged all ages"
Australia,AUS,1964,135.31796,507.4913,39.541767,11.966211,22.410028,55.479866,16.746239,12.247241,27.57667
Australia,AUS,1965,132.28874,496.11572,34.108593,10.3651285,21.428183,55.546608,16.939945,12.391,26.125027
Australia,AUS,1966,135.06976,504.06555,39.5241,10.317146,21.236612,55.339256,16.062235,12.134509,28.573744
Australia,AUS,1967,135.54832,482.58133,31.960741,10.3737135,19.81116,57.261776,17.21388,12.217322,27.099445
Australia,AUS,1968,141.0262,514.8331,30.799057,8.706577,21.473137,55.209698,14.860613,14.825916,34.56077
Australia,AUS,1969,140.61826,484.68463,26.315815,8.1380825,20.380112,53.15765,14.193421,13.442091,34.514904
Australia,AUS,1970,144.23683,497.55493,34.597633,7.9669514,21.288021,56.19541,14.469988,13.901409,38.6011
Australia,AUS,1971,143.48898,483.0408,24.788517,7.4864717,20.097895,53.97822,16.083433,14.268491,35.906742
Australia,AUS,1972,144.27298,467.93164,23.097866,6.5630293,20.813686,51.723774,14.829138,13.961787,36.605957
Australia,AUS,1973,146.37866,461.77042,23.22051,6.558679,22.187174,52.269897,14.03362,14.761687,35.32309
Australia,AUS,1974,147.98267,473.06018,26.725971,6.3983784,22.652426,51.53937,13.94062,16.50628,39.72659
Australia,AUS,1975,143.1347,416.84753,17.57292,5.636777,21.20232,49.03983,13.11411,15.08337,32.48208
Australia,AUS,1976,144.42438,416.36823,23.910582,5.2754765,21.572384,46.756073,13.1073675,14.578048,37.08839
Australia,AUS,1977,143.75166,391.42667,17.298111,4.837631,21.48551,47.471764,13.262733,14.538758,32.482006
Australia,AUS,1978,143.9082,375.40555,16.529623,4.6143837,20.29515,45.757874,13.123953,14.033213,33.103867
Australia,AUS,1979,141.90459,355.9882,14.434842,4.019751,21.62054,43.505314,13.537127,13.289289,31.674664
Australia,AUS,1980,145.89578,346.9838,12.725034,3.9870067,22.897493,41.93882,12.882582,13.606906,33.505543
Australia,AUS,1981,144.09523,333.85736,11.188121,3.909757,21.984097,38.21091,13.000882,13.445631,32.602005
Australia,AUS,1982,146.55339,331.64572,14.996347,3.800162,23.352297,38.789993,13.356378,15.159302,36.169353
Australia,AUS,1983,147.87642,308.6825,10.777572,3.9637313,21.244871,33.985767,12.519154,14.306174,33.01719
Australia,AUS,1984,149.22183,305.52094,10.1846285,3.6387799,21.438154,33.089207,12.995268,15.9634285,33.712803
Australia,AUS,1985,149.87178,301.09277,12.237438,4.2582355,21.484303,34.04103,13.386473,18.610123,36.30456
Australia,AUS,1986,145.98119,276.90015,7.974666,3.974147,20.68836,31.514206,14.244102,17.15095,31.60694
Australia,AUS,1987,147.23238,272.0751,8.354324,4.701152,20.530039,30.635332,14.824502,18.715899,33.290222
Australia,AUS,1988,146.74718,257.7469,8.566349,5.065401,20.444136,31.34378,14.476657,19.687777,34.41063
Australia,AUS,1989,148.4582,261.9465,11.056846,5.9024787,20.348484,31.401243,13.440322,20.98409,38.291862
